gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
ATCAY,ENSG00000167654.17,0.062264052,0.005793621,0.064093655,0.026250326
RN7SL202P,ENSG00000266627.2,0.014942266,0.002598161,0.027258428,0.004190071
NMRK2,ENSG00000077009.13,1.460617211,0.640007974,0.190909186,0.084338947
DAPK3,ENSG00000167657.13,54.27577342,1.175484608,54.95996212,0.870140167
MIR637,ENSG00000283928.1,5.663646187,0.258842076,0,0
EEF2,ENSG00000167658.15,1489.600218,19.07719167,2129.009348,31.74998589
SNORD37,ENSG00000206775.1,0.010000654,0.003891901,0.218930208,0.025395507
PIAS4,ENSG00000105229.6,17.45421786,0.26427894,31.46977803,0.415165879
ZBTB7A,ENSG00000178951.8,22.85376906,0.23839792,34.18680208,0.38560213
CTD-2622I13.3,ENSG00000268670.1,1.288948584,0.032500371,0,0
MAP2K2,ENSG00000126934.13,78.50311547,0.742620309,66.16267992,0.873832319
Metazoa_SRP,ENSG00000278007.1,0.026422222,0.00355853,0.879588636,0.03444896
CREB3L3,ENSG00000060566.13,0.118551198,0.038130406,0.092625758,0.008797364
SIRT6,ENSG00000077463.14,17.70150109,0.259118201,20.82773409,0.295094928
ANKRD24,ENSG00000089847.12,1.779976035,0.054267727,1.780272159,0.058208731
EBI3,ENSG00000105246.5,3.377865795,0.114694208,7.647847633,0.233222263
AC005578.3,ENSG00000280247.1,0.060948148,0.003585218,0,0
CCDC94,ENSG00000105248.15,28.25010893,0.372052367,0,0
SHD,ENSG00000105251.10,0.056862309,0.011486387,0.173902652,0.013286395
TMIGD2,ENSG00000167664.8,0.317436383,0.013640173,0.831279167,0.041898987
FSD1,ENSG00000105255.10,0.272176688,0.01894455,0.877765341,0.09724463
STAP2,ENSG00000178078.11,17.72764924,0.719647756,51.97091894,1.050063334
AC007292.7,ENSG00000269425.1,0.173136166,0.010294275,0,0
MPND,ENSG00000008382.15,12.35947495,0.159121641,17.36007595,0.286061697
AC007292.4,ENSG00000269807.1,0.18971329,0.00985841,0,0
EIF1P6,ENSG00000267938.1,0.138134423,0.007738707,1.548933239,0.049890158
AC007292.3,ENSG00000269318.1,0.662038998,0.015212423,0.237546496,0.010611897
SH3GL1,ENSG00000141985.9,63.96333333,0.857628115,77.55128835,0.910753707
AC007292.6,ENSG00000267980.1,2.656144662,0.078217813,0,0
CHAF1A,ENSG00000167670.15,7.29427451,0.124226056,20.58538996,0.403135082
CTB-50L17.5,ENSG00000267255.1,0.480918954,0.023535897,0,0
UBXN6,ENSG00000167671.11,159.2472113,1.491385566,65.32578797,0.874628982
MIR4746,ENSG00000266437.1,0.062274292,0.009482209,0,0
CTB-50L17.7,ENSG00000267030.1,4.09872549,0.103328385,0,0
CTB-50L17.8,ENSG00000280239.1,6.267074074,0.127202181,0,0
CTB-50L17.9,ENSG00000267769.1,4.054221351,0.120284605,0,0
CTB-50L17.16,ENSG00000267011.5,0.21242963,0.008535262,0,0
CTB-50L17.10,ENSG00000167674.14,29.3380305,0.430021529,0,0
PLIN4,ENSG00000167676.4,546.1345708,28.73030547,34.04485294,2.373205768
PLIN5,ENSG00000214456.8,29.94950479,1.267076197,7.798606155,0.426693286
LRG1,ENSG00000171236.9,6.402390196,0.399166069,66.39308134,2.55675931
SEMA6B,ENSG00000167680.15,28.88436601,0.750194296,13.92547206,0.411754505
CTB-50L17.2,ENSG00000267408.1,0.023282571,0.003081469,0,0
TNFAIP8L1,ENSG00000185361.8,5.676385621,0.10046637,10.34981411,0.167990961
MYDGF,ENSG00000074842.7,100.2691721,1.61491402,184.7149523,2.561788119
DPP9,ENSG00000142002.16,25.22938562,0.285945085,29.68202415,0.446412179
DPP9-AS1,ENSG00000205790.1,2.74888671,0.057031824,0.299860511,0.00934461
MIR7-3HG,ENSG00000176840.11,0.119105882,0.011858891,0.351673769,0.111449148
MIR7-3,ENSG00000207630.1,0.011170806,0.002919987,0.017489962,0.003961069
AC005523.3,ENSG00000268536.1,0.416846187,0.025619823,0,0
FEM1A,ENSG00000141965.4,1.082204793,0.025155689,0.643010417,0.016259692
TICAM1,ENSG00000127666.9,22.43511765,0.353484488,37.61667206,0.489071134
CTC-518P12.6,ENSG00000267484.1,0,0,0,0
PLIN3,ENSG00000105355.8,43.35765795,0.966926446,82.95568078,1.168744556
ARRDC5,ENSG00000205784.2,0.307167102,0.026642602,0.56127339,0.027028985
UHRF1,ENSG00000276043.4,0.570569935,0.040564882,16.48826345,0.430183333
MIR4747,ENSG00000263409.1,0.002782789,0.001991261,0.05578589,0.009960941
KDM4B,ENSG00000127663.14,15.98255991,0.472087578,39.988784,0.97195074
